Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2016 [YR2016],2019 [YR2019]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,1075.67137317936,1771.19798501195,2128.12593822669,2023.83465629732,2168.13376468689
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2549.74680052103,3861.33300611406,5865.29135442867,9628.64011247685,11658.8948969978,12078.7993344718,14407.4376451051
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,6974.07637933505,8510.35927878826,11478.0280503093,13141.1202583704,12071.8141810043,11685.4514179182,12120.4063738912
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,3283.17084264682,3285.95341568284,4835.66952233918,6586.46581926881,7274.09047477931,7027.14663413219,6882.27912260866
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,11436.0169720724,17037.3808751235,20684.0318578389,21175.3833088773,19674.5632961557,20790.4191719618,23880.2212735947
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,7183.58382562643,11542.9860028113,13513.6702919661,18063.9143432506,20105.1989918165,20307.870052142,23007.8365916056
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2756.57332354643,2572.4208203298,5339.90170201023,7331.38650353822,10132.318975243,10966.8533270074,14924.776928318
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,20753.5276476148,30746.6527453748,36264.4353728603,34230.3250904912,37343.9129633145,37583.8403229292,42510.0655895769
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17381.4400129867,26521.0784018233,33018.163222623,39363.6180573612,46251.4086848715,47249.4348152753,51909.0151023258
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19473.0819594859,29381.6848770115,35013.7140443423,42007.2937461255,49865.9039424185,52684.0171130768,59704.2233778226
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5253.44660826408,3381.66620983258,6740.4240629969,14678.7737395302,14938.4011276715,14371.0227410092,15054.544606509
